"平成22年基準和歌山市消費者物価指数変化率(前月比)【10倍値】","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"197509","30","45","97","13","19","71","49","30","50","213","222","39","19","-5","-2","39","0","6","3","6","1","0","0","13","-","8","0","41","43","8","-6","0","112","176","164","179","128","230","7","11","30","6","3","9","2","0","8","30","1","0","0","0","0","-","-13","0","-54","0","0","7","33","1","-13","0","0","70","19","50","222","26","40","31","5","3","27","-","-","0","-","-","","",""
"197510","21","26","0","2","3","0","2","106","175","249","257","22","-1","-4","2","0","0","7","10","5","0","0","0","0","-","4","-8","31","33","2","4","0","58","118","-35","159","1","-3","7","18","-3","0","3","11","-2","0","0","0","0","0","0","0","0","-","21","0","92","0","0","14","10","36","13","0","0","110","3","175","257","12","2","22","9","13","12","-","-","0","-","-","","",""
"197511","3","-2","3","49","76","27","4","-23","-36","-165","-169","-7","1","0","4","0","0","3","3","1","65","0","0","0","-","-3","0","-12","0","-3","-7","0","2","2","0","2","-6","5","-21","0","0","20","1","0","10","0","9","0","18","0","0","0","0","-","-7","0","-33","-2","4","-1","0","0","-3","0","0","-23","76","-36","-169","4","3","3","5","13","5","-","-","0","-","-","","",""
"197512","-5","-13","-1","10","-3","50","-18","-96","-155","-234","-240","-20","0","0","0","0","24","6","6","9","2","0","0","29","-","-1","-2","0","0","0","-4","0","4","5","0","7","0","0","0","11","0","2","0","0","4","0","7","23","2","0","0","0","0","-","-2","0","-32","14","4","1","0","0","2","0","0","-101","-3","-155","-240","6","14","-5","7","4","6","-","-","0","-","-","","",""
"197601","12","22","1","32","50","0","-16","127","217","-2","-5","7","-3","0","0","57","7","2","-1","9","0","0","0","3","-","-2","-6","0","-6","20","-8","0","-52","-83","9","-103","-52","-87","0","0","8","1","8","0","0","13","34","93","22","0","-5","0","0","-","9","-1","37","-3","5","124","3","2","0","490","0","90","50","217","-5","7","4","12","6","0","7","-","-","-1","-","-","","",""
"197602","0","2","0","-56","-87","4","27","12","19","105","111","-5","1","0","48","0","11","1","0","4","0","0","0","0","-","-2","0","0","-5","-1","-6","0","-24","-67","-7","-82","22","32","9","9","0","9","1","0","6","0","22","13","0","71","0","0","0","0","-3","1","-11","0","-2","4","16","0","0","0","0","-15","-87","19","111","1","8","0","2","0","2","-","-","0","-","-","","",""
"197603","3","6","13","10","26","4","36","-40","-60","110","113","2","-3","0","0","0","0","0","0","0","1","0","0","2","-","-2","-2","-5","0","3","-9","0","-2","-2","-22","4","-4","-7","0","0","-1","0","0","0","0","0","0","0","0","0","2","0","11","0","9","0","31","13","-1","3","0","3","9","0","0","13","26","-60","113","2","2","4","1","3","2","-","-","6","-","-","","",""
"197604","30","18","0","26","35","9","-15","147","236","-104","-108","-4","2","32","0","0","3","20","22","15","0","0","0","0","-","-3","-19","11","4","10","5","0","101","172","0","216","70","121","0","0","118","6","41","0","0","66","3","0","6","0","163","219","0","141","16","0","9","-1","32","1","0","-1","0","0","133","71","35","236","-108","26","3","30","20","29","26","-","-","127","-","-","","",""
"197605","4","-1","0","26","43","0","-13","-79","-120","109","113","1","1","-7","33","0","6","7","8","6","0","0","0","0","-","0","-18","6","32","1","0","24","1","-2","-12","1","-2","-9","8","9","7","0","50","0","0","81","1","0","3","0","13","21","0","0","-3","0","-10","1","0","13","0","0","0","0","1093","-7","43","-120","113","6","0","4","6","6","6","-","-","14","-","-","","",""
"197606","0","-1","0","-50","-77","0","-8","-4","-7","148","153","8","0","0","7","0","1","3","3","1","0","0","0","0","-","1","0","4","0","1","0","0","24","35","82","25","25","28","21","4","0","28","0","0","0","0","-3","0","-7","0","0","0","0","0","-10","0","-87","2","23","0","0","0","0","0","0","-6","-77","-7","153","1","3","0","3","4","0","-","-","1","-","-","","",""
"197607","6","9","5","34","56","0","17","-74","-118","137","140","-6","1","20","3","0","28","12","10","20","24","0","65","25","-","6","2","23","0","1","17","0","-11","0","0","0","-57","-96","5","0","0","17","0","0","0","0","13","0","27","0","0","0","0","0","-2","0","-30","-2","13","0","0","0","0","0","0","16","56","-118","140","5","6","5","14","7","5","-","-","0","-","-","","",""
"197608","-5","-15","0","17","29","0","-4","-62","-102","-201","-206","-2","0","0","0","0","14","3","4","1","78","174","0","5","-","3","-3","-1","32","-1","5","0","-66","-109","-15","-129","-83","-138","-8","0","16","13","3","9","-2","0","3","0","7","0","0","0","0","0","36","2","138","19","4","20","66","15","0","0","0","-70","29","-102","-206","2","4","-5","2","3","2","-","-","0","-","-","","",""
"197609","29","55","47","76","109","0","41","202","346","249","256","-13","4","0","3","0","0","15","18","1","1","0","0","2","-","20","25","7","35","0","32","0","78","59","100","48","219","388","16","31","9","27","0","0","0","0","0","0","0","0","0","0","0","0","-21","-2","-88","3","-2","1","0","0","3","0","0","208","109","346","256","13","10","30","7","16","13","-","-","3","-","-","","",""
"197610","7","-1","32","-13","-26","-4","-3","19","29","-79","-81","-3","11","0","1","0","0","9","0","38","0","0","0","1","-","7","8","14","-3","1","18","0","22","12","3","15","35","48","14","61","6","0","4","16","12","0","0","0","0","0","3","5","0","0","28","5","128","-1","1","14","20","21","27","0","0","-22","-26","29","-81","11","7","7","22","0","11","-","-","3","-","-","","",""
"197611","3","-17","-4","30","14","-20","-24","-176","-283","44","45","-15","-14","0","0","0","32","5","6","1","0","0","0","0","-","24","0","0","11","0","7","226","53","115","19","141","2","-2","7","0","0","0","0","0","0","0","29","110","0","0","0","0","0","0","-5","0","-22","0","2","2","0","14","0","0","0","-76","14","-283","45","11","2","3","5","11","12","-","-","2","-","-","","",""
"197612","7","-4","1","-40","-86","-8","28","8","-21","-14","-14","11","-2","12","0","0","10","-17","-22","0","0","0","1","0","-","6","4","0","19","5","8","0","-2","-3","0","-4","11","15","4","0","-8","24","21","0","0","33","96","0","0","397","0","0","0","0","27","12","92","15","1","2","7","2","-5","0","0","-52","-86","-21","-14","13","10","9","-6","-14","15","-","-","0","-","-","","",""
"197701","-3","10","5","19","34","0","-16","40","93","12","11","2","-8","36","10","0","8","2","2","1","0","0","0","2","-","-1","-4","6","23","0","-8","0","-76","-148","-9","-180","-21","-30","-5","-8","0","0","0","0","0","0","1","0","4","0","1","0","7","0","5","0","27","-13","3","9","0","57","-7","0","0","44","34","93","11","-9","0","-3","2","3","-9","-","-","1","-","-","","",""
"197702","1","8","1","-12","-23","0","65","78","116","-40","-41","8","0","16","0","0","0","2","2","1","29","0","90","0","-","-9","-17","0","-37","0","5","0","-36","-74","-29","-87","-47","-76","0","19","0","0","6","26","0","0","2","0","4","0","0","0","0","0","-6","0","-25","2","-1","0","0","0","0","0","0","10","-23","116","-41","0","7","0","2","3","0","-","-","0","-","-","","",""
"197703","9","19","5","32","36","3","63","33","43","50","51","2","2","0","39","0","6","7","10","0","1","0","0","1","-","6","0","11","-1","32","0","0","14","35","-13","48","-9","-15","0","-4","14","0","2","5","0","0","-1","0","-1","0","0","0","0","0","0","0","-3","0","1","-2","0","-10","-3","0","0","42","36","43","51","5","13","10","-1","-1","4","-","-","1","-","-","","",""
"197704","21","16","2","73","92","23","-72","70","102","-73","-75","9","0","0","3","0","9","12","9","19","0","0","0","1","-","12","28","46","-9","0","0","0","17","13","-14","20","35","40","26","3","18","23","3","0","30","0","37","0","-3","124","111","148","0","83","22","0","5","2","50","14","13","48","0","0","0","56","92","102","-75","17","3","22","13","5","18","-","-","96","-","-","","",""
"197705","-1","-10","0","-55","-105","0","-11","-31","-55","54","55","-1","6","5","6","0","-3","-1","-1","1","34","0","0","0","-","-7","-27","9","4","9","0","0","2","1","43","-10","28","44","5","0","0","0","7","23","9","0","0","0","0","0","0","0","0","0","5","0","-59","0","46","4","14","1","0","0","0","-56","-105","-55","55","5","4","-2","0","-1","5","-","-","2","-","-","","",""
"197706","-1","-5","0","29","53","6","-54","-56","-92","-3","-3","-10","-16","-23","45","0","-6","21","27","3","-3","0","-9","0","-","4","-1","6","0","26","-3","0","1","15","37","9","-26","-40","-5","1","0","0","6","0","54","0","9","31","2","0","3","5","0","0","-19","4","-89","3","0","0","0","0","0","0","0","-6","53","-92","-3","0","-3","-3","8","14","-2","-","-","1","-","-","","",""
"197707","6","5","1","23","21","10","15","-38","-61","16","17","-3","5","0","6","34","3","2","2","2","0","0","0","0","-","1","-1","7","0","5","0","0","17","37","-5","48","6","0","15","0","0","0","23","11","0","31","0","0","0","0","0","0","0","0","17","1","72","0","4","-2","0","-9","0","0","0","-4","21","-61","17","7","6","7","2","2","7","-","-","0","-","-","","",""
"197708","-7","4","0","82","139","-4","-9","-37","-76","-100","-103","-4","-7","19","2","0","8","2","3","-1","0","0","0","0","-","1","0","0","2","6","0","0","-107","-157","-20","-196","-172","-285","0","16","-15","4","1","6","0","0","2","0","4","0","0","0","0","0","14","0","59","4","0","18","50","9","5","0","0","23","139","-76","-103","-9","0","-8","4","11","-10","-","-","0","-","-","","",""
"197709","32","43","31","9","-23","39","72","195","366","111","115","0","-2","0","2","0","16","1","1","-1","0","0","0","0","-","11","35","-7","0","-3","-3","10","181","258","57","329","315","567","43","13","0","10","11","3","0","15","1","0","4","0","0","0","0","0","-32","0","-140","0","0","2","0","0","11","0","0","102","-23","366","115","24","26","34","0","2","27","-","-","0","-","-","","",""
"197710","6","9","16","-6","-16","-1","-24","-54","-100","259","265","-5","16","0","37","0","0","0","0","0","0","0","0","0","-","6","26","15","-27","0","0","0","3","14","-4","20","-2","-2","-3","29","-7","0","0","1","0","0","0","-3","1","0","0","0","0","0","8","0","51","-1","-5","2","0","2","5","0","0","19","-16","-100","265","4","5","5","0","0","3","-","-","0","-","-","","",""
"197711","-21","-39","1","-20","-61","0","1","-160","-267","-297","-304","-3","2","0","45","0","0","1","1","1","0","0","0","0","-","3","1","0","19","0","4","0","-40","-92","7","-118","5","8","0","1","0","12","0","0","0","0","0","0","1","0","0","0","0","0","-4","-8","-20","1","0","0","0","0","3","0","0","-182","-61","-267","-304","-3","10","-21","1","1","-2","-","-","1","-","-","","",""
"197712","2","-14","4","-42","-56","-2","18","5","5","-152","-157","-1","0","-21","-8","0","0","6","8","-1","2","0","0","18","-","8","-1","0","77","-2","0","0","55","120","0","158","1","1","0","0","-7","30","0","0","0","0","-5","0","-9","0","0","0","0","0","11","4","30","13","2","-3","0","0","-17","0","0","-64","-56","5","-157","8","-2","2","1","2","8","-","-","0","-","-","","",""
"197801","4","20","2","53","83","0","-40","106","192","-3","-3","4","0","0","-9","0","15","3","2","3","0","0","0","0","-","-5","-1","0","-38","1","-4","0","-53","-97","30","-132","-70","-114","0","0","0","0","14","0","0","21","5","21","-4","0","0","0","0","0","13","0","50","-13","14","2","0","0","9","0","0","94","83","192","-3","-4","1","4","4","7","-4","-","-","0","-","-","","",""
"197802","-3","-3","2","-40","-72","-6","-36","37","51","60","63","11","-5","-6","2","0","0","4","5","1","-1","0","0","-13","-","-3","0","-7","-22","2","0","0","-58","-111","-11","-142","-46","-77","0","0","0","0","72","0","0","110","0","0","1","0","4","0","40","0","17","4","69","5","0","0","0","0","0","0","0","-12","-72","51","63","-2","-2","-4","2","3","-3","-","-","5","-","-","","",""
"197803","9","13","-2","30","56","0","12","0","-8","162","168","9","0","0","9","0","0","-5","-5","0","0","0","0","0","-","-1","-1","0","-5","0","0","0","28","50","-12","74","38","68","-3","0","0","0","-1","0","-9","0","2","10","-3","0","0","0","0","0","24","-2","79","28","0","1","0","0","1","0","0","59","56","-8","168","4","2","10","-3","-4","5","-","-","0","-","-","","",""
"197804","5","7","2","-8","-10","-2","19","40","68","15","15","7","5","58","0","0","0","3","17","-46","0","0","0","0","-","-2","-8","-12","9","3","0","0","-1","-15","0","-20","27","42","5","-6","8","0","1","0","8","0","-5","0","-15","0","111","179","0","0","-28","0","-123","1","4","0","0","0","0","0","0","18","-10","68","15","4","4","4","-16","27","3","-","-","79","-","-","","",""
"197805","4","-5","-1","14","22","0","-31","-46","-109","-95","-97","8","2","0","0","60","10","17","21","1","0","0","0","0","-","11","33","0","8","-2","0","0","31","50","-7","69","46","81","-6","-2","0","0","0","0","0","0","1","0","3","0","0","0","0","0","3","0","17","-1","0","0","0","0","0","0","0","-44","22","-109","-97","8","7","3","7","14","7","-","-","4","-","-","","",""
"197806","6","11","0","18","-9","0","-32","2","14","196","203","4","-1","6","0","0","0","11","17","-8","0","0","0","0","-","-1","0","0","-7","0","0","0","15","66","79","62","-62","-105","8","-5","0","0","0","0","0","0","2","0","4","0","0","0","0","0","-10","0","-75","27","0","0","0","0","0","0","0","41","-9","14","203","3","1","5","0","12","2","-","-","0","-","-","","",""
"197807","3","2","2","33","55","-5","-2","32","56","-107","-109","-1","-1","0","0","0","0","0","0","1","0","0","0","-1","-","3","9","0","0","0","0","0","10","24","59","13","8","14","0","-2","0","-10","0","0","0","0","8","30","-1","0","0","0","0","0","0","15","-4","-2","0","8","0","42","0","0","0","17","55","56","-109","1","-2","4","1","0","1","-","-","0","-","-","","",""
"197808","-1","19","-2","32","73","0","40","75","132","122","125","-1","1","0","-74","0","0","-1","-2","3","0","0","0","0","-","-3","-8","0","2","0","0","0","-94","-117","-100","-123","-168","-285","0","2","-26","0","0","0","4","0","-5","0","-10","0","0","0","0","0","16","0","76","3","-2","0","0","0","0","0","0","100","73","132","125","-10","-3","-2","-1","-6","-11","-","-","0","-","-","","",""
"197809","4","-2","-2","-64","-89","0","21","41","83","66","68","-6","-1","3","-2","0","0","-7","-9","0","-1","0","0","-8","-","2","1","0","6","0","2","0","75","36","-35","61","296","578","3","-15","9","1","0","0","0","0","-5","0","-11","0","0","0","0","0","-5","-1","-24","0","0","1","0","0","4","0","0","-6","-89","83","68","5","-3","5","-3","-6","6","-","-","0","-","-","","",""
"197810","-1","-4","0","0","-6","0","-6","-63","-112","117","120","-39","-9","-18","1","0","0","0","0","1","-45","-81","-23","0","-","-10","-9","-3","-59","0","0","0","11","25","0","32","4","11","-8","0","-6","0","2","9","0","0","8","30","0","0","0","0","0","0","3","0","-12","22","0","11","37","0","0","0","0","-10","-6","-112","120","0","0","-1","0","0","0","-","-","0","-","-","","",""
"197811","0","-28","0","-27","-45","0","-1","-109","-182","-150","-153","-9","2","-47","0","0","0","-1","0","-3","-7","0","-15","-19","-","1","2","19","-8","0","0","0","97","214","5","278","16","25","0","0","0","0","1","3","0","0","-1","0","-1","0","0","0","0","0","4","0","7","11","0","30","120","1","-31","0","0","-112","-45","-182","-153","12","-2","0","-1","0","13","-","-","0","-","-","","",""
"197812","-1","-4","-1","-16","-16","7","20","-63","-116","-18","-19","0","0","34","-2","0","29","3","2","1","-1","0","-1","-4","-","4","0","-28","47","0","0","0","-6","-14","0","-18","-2","-2","0","7","0","0","2","7","7","0","2","0","4","0","1","0","16","0","10","-16","44","16","0","0","0","0","0","0","0","-42","-16","-116","-19","3","7","-1","1","2","4","-","-","-1","-","-","","",""
"197901","-2","2","-2","23","21","0","-43","63","121","-90","-92","-10","0","-21","0","0","0","0","0","2","0","0","0","0","-","3","0","0","28","1","0","0","-41","-76","-77","-76","-26","-42","0","0","-8","8","0","0","0","0","10","37","-2","0","0","0","0","0","-3","17","-38","-11","11","0","0","0","0","0","0","16","21","121","-92","-4","-1","-3","1","0","-5","-","-","7","-","-","","",""
